title_id	title	year	runtime	genre
tt10050404	Tian Shang De Hai Zi	2018	\N	Drama
tt10050592	The Age of Sebastian	2018	70	Drama
tt10050608	Drama	2019	117	Drama
tt10050612	Bigfoot's Lament	2019	60	Fantasy
tt10050614	Arayakadavil	2019	\N	Drama
tt10050686	British Bungalow	2019	117	Horror,Thriller
tt10050722	Thing I Don't Get	2018	71	Drama
tt10050738	Therottam	2019	117	Action,Thriller
tt10051320	Adopted in Danger	2019	90	Thriller
tt10051586	Scare Attraction	2019	72	Comedy,Horror,Thriller
tt10052156	Shell and Joint	2019	154	Drama
tt10052290	Faustina: Love and Mercy	2019	107	Biography,Drama,Family
tt10052314	White Fish Season	2019	97	Drama,Family
tt10052452	Jeremiah's Woods	2018	83	Comedy,Horror
tt10052928	Black Fox: Age of the Ninja	2019	92	Action,Drama,Fantasy
tt10053058	Angel Sign	2019	105	Drama,Romance
tt10053426	Bad Nun: Deadly Vows	2019	89	Horror
tt10054544	VI	2019	70	Thriller
tt10054940	Arbëria	2019	80	Drama
tt10055618	Tunguska Butterfly	2019	91	\N
tt10055762	Mullapoo Viplavam	2019	136	Drama
tt10055770	Vellai Pookal	2019	122	Crime,Drama,Thriller
tt10055774	Mere Pyare Deshvasiyom	2019	110	Comedy
tt10055876	Dans la matinée	2019	61	\N
tt10056070	Das Bürgermeistermädchen	2018	57	Comedy,Drama
tt10056072	Calling	2019	\N	Crime
tt10056322	MeloDylan	2019	92	Drama
tt10056452	Zombolicious	2019	\N	Comedy
tt10056510	Dharma Prabhu	2019	147	Drama,Fantasy
tt10057796	Best Wishes	2019	\N	Drama
tt10057838	;	2017	\N	\N
tt10058396	Cocaine. Gangster. Talk.	2019	183	Crime,Drama
tt10059220	Blood of God	2019	\N	Drama
tt10059236	My Second Year in College	2019	99	Drama,Romance
tt10059624	Heinz	2018	76	Animation
tt10060094	The Knight Before Christmas	2019	92	Adventure,Comedy,Drama
tt10060386	Hellcat's Revenge II: Deadman's Hand	2019	82	Action,Thriller
tt10060902	Second Hand Store Horror Tales	2018	\N	Horror
tt10061256	Hot Gimmick: Girl Meets Boy	2019	119	Drama
tt10061766	Windfall	2019	\N	Comedy,Crime,Drama
tt10062102	Jattan Diyan Dildariyan	2016	\N	Drama
tt10062474	Unmadiyude Maranam	2019	78	Fantasy
tt10062572	Bring Out Your Dead	2019	\N	\N
tt10062650	O Olho e a Faca	2019	99	Drama,Thriller
